Census Block,FY22 Count,FY23 Count,FY24 Count,Grand Total
421010001021013,,3,,3
421010003001012,10,,,10
421010008011003,,3,,3
421010008011004,,1,,1
421010008012006,,8,,8
421010008012007,,2,,2
421010008031003,1,,,1
421010008032005,1,,,1
421010008032006,4,,,4
421010009022010,5,,,5
421010010024006,8,,,8
421010010024007,6,,,6
421010011013014,2,,,2
421010012011003,,2,,2
421010012011011,,8,,8
421010012011012,,16,,16
421010012011013,,12,,12
421010012011015,3,,,3
421010012011016,1,,,1
421010012013004,5,,,5
421010012013005,5,,,5
421010012014010,,4,,4
421010012014011,,4,,4
421010012014012,,1,,1
421010013011000,2,,,2
421010013011003,1,,,1
421010013022000,11,,,11
421010013022006,8,,,8
421010014001003,3,,,3
421010014001004,2,,,2
421010014002001,,14,,14
421010014002002,,7,,7
421010015001000,1,,,1
421010015001002,1,5,,6
421010015001003,3,,,3
421010015001005,5,5,,10
421010015002000,2,,,2
421010015002027,9,,,9
421010015002028,11,,,11
421010015002029,3,,,3
421010015002030,4,,,4
421010018001010,10,,,10
421010018001011,9,,,9
421010018001018,4,,,4
421010018001019,3,,,3
421010018001026,,4,,4
421010018001027,,1,,1
421010019002003,1,,,1
421010019002007,2,,,2
421010019003003,5,,,5
421010019003009,7,,,7
421010020001017,,,4,4
421010020002016,,,3,3
421010021001002,,,4,4
421010021001004,,,8,8
421010021001005,,,2,2
421010021001006,,,4,4
421010021001013,,,1,1
421010021002002,,,2,2
421010021002003,,,1,1
421010021002008,,,3,3
421010021002013,,,2,2
421010021002015,,,1,1
421010021002016,,,6,6
421010021002021,,,2,2
421010022001000,,,4,4
421010022001003,,,1,1
421010022002001,,,1,1
421010022002006,,,1,1
421010022003008,,,1,1
421010022003009,,,3,3
421010022003010,,,3,3
421010022003011,,,1,1
421010022003012,,,3,3
421010023002002,,2,,2
421010023002003,,1,,1
421010023002004,,6,,6
421010023002005,,10,,10
421010025001006,2,,,2
421010025001007,2,,,2
421010025002001,,,3,3
421010027011000,,,5,5
421010027011001,,,7,7
421010027012001,,2,,2
421010027012002,,3,,3
421010027012003,,2,,2
421010027012004,,2,,2
421010027012014,,1,,1
421010027012015,,2,,2
421010027012018,,,5,5
421010027021003,9,,,9
421010027021010,1,,,1
421010027021012,1,,,1
421010027021015,,,4,4
421010027022016,,,8,8
421010027022029,,,3,3
421010027022033,,1,,1
421010028012001,5,,,5
421010028012002,3,,,3
421010028022008,3,,,3
421010028022009,1,,,1
421010028022016,3,,,3
421010028023016,,6,,6
421010028023017,,5,,5
421010029002000,,1,,1
421010029002003,,1,,1
421010029002007,,1,1,2
421010029002008,,3,2,5
421010029002009,,2,,2
421010029002010,,2,,2
421010029003012,,10,,10
421010029003013,,6,,6
421010029003016,16,,,16
421010029003018,7,,,7
421010030014004,,,1,1
421010030014007,,,5,5
421010030023002,1,,,1
421010030024001,,,4,4
421010030024002,,,4,4
421010030024009,,,2,2
421010031001000,3,,,3
421010031001003,,,5,5
421010031001004,,,3,3
421010031001008,,,2,2
421010031001009,,,2,2
421010031001014,1,,,1
421010031006000,,,4,4
421010031006003,,,3,3
421010031006004,,,5,5
421010032001004,,,1,1
421010032001006,,,1,1
421010032001007,,,1,1
421010032001008,,,2,2
421010032004006,,,3,3
421010032005000,,,1,1
421010032006005,,,4,4
421010033001006,,,2,2
421010033001008,,,1,1
421010033001009,,,2,2
421010033002007,,,2,2
421010033003004,,,1,1
421010033005002,,1,1,2
421010033006003,,,1,1
421010033006007,,,1,1
421010036001007,,,4,4
421010036001008,,,2,2
421010036002007,,,1,1
421010036003028,,,3,3
421010036003029,,,1,1
421010036004001,,,12,12
421010036004002,,,14,14
421010036004010,1,,,1
421010037011000,,,1,1
421010037011005,,,1,1
421010037011009,,,4,4
421010037013003,,,2,2
421010037014001,,1,,1
421010037014005,,,3,3
421010037014006,,,5,5
421010037014007,,,2,2
421010037015003,,,1,1
421010037015009,,,2,2
421010037021008,,,10,10
421010037022001,,,3,3
421010037022004,,,2,2
421010037022005,,,7,7
421010037022006,,,6,6
421010037022009,,,1,1
421010037022010,,,6,6
421010037022011,,,3,3
421010037022012,,,3,3
421010037023001,,,2,2
421010038003002,,,1,1
421010038003003,,,6,6
421010038004000,,,6,6
421010038005000,,,11,11
421010038005006,,,4,4
421010038005009,,,2,2
421010038005011,,,13,13
421010038005012,,,8,8
421010039011003,,,2,2
421010039011012,,2,,2
421010039011013,,1,,1
421010039014000,,,1,1
421010039014003,,,5,5
421010039014004,,,1,1
421010040012001,1,,,1
421010040021010,1,,,1
421010040021012,1,,,1
421010040021013,4,,,4
421010040022003,1,,,1
421010040022005,3,,,3
421010041011002,,4,,4
421010041011003,,1,,1
421010041011004,,2,,2
421010041011005,,,3,3
421010041013004,,,1,1
421010041014002,,,1,1
421010041015005,,,1,1
421010041032015,,2,,2
421010041041004,,,2,2
421010041041005,,,2,2
421010041041007,,,6,6
421010041041008,,,1,1
421010041042009,,,3,3
421010041042010,,,4,4
421010041042012,,,6,6
421010041042013,,2,7,9
421010041042014,,4,,4
421010041042015,2,,,2
421010041042016,1,,,1
421010042011001,2,,4,6
421010042011003,1,,,1
421010042011004,,,5,5
421010042012001,,1,,1
421010042012003,,,1,1
421010042012004,,,2,2
421010042012005,,,3,3
421010042012006,,,1,1
421010042012010,,,1,1
421010042012012,,,7,7
421010042012014,,,1,1
421010042012016,,,2,2
421010042013004,,1,2,3
421010042013006,,3,2,5
421010042014000,2,,2,4
421010042014001,3,,1,4
421010042014002,3,,,3
421010042014005,,,1,1
421010042014006,,,7,7
421010042014009,,,1,1
421010042014010,,,1,1
421010042014013,,,1,1
421010042014015,,,2,2
421010042021014,,,1,1
421010042021016,,,3,3
421010042022000,,,5,5
421010042022001,,,1,1
421010042023000,,,2,2
421010042023001,,,5,5
421010042023002,,,2,2
421010042023003,,,1,1
421010042023004,,,2,2
421010042023005,,,1,1
421010042023006,,,2,2
421010042023007,,,5,5
421010042023008,,,1,1
421010042024001,,,3,3
421010042024003,,,8,8
421010042024006,,,6,6
421010055001017,2,,,2
421010055004001,1,,,1
421010060001011,1,,,1
